Authors,Quotes
,
Nelson Mandela,"

"
,
Nelson Mandela,It always seems impossible until it's done.
,
Nelson Mandela,"

"
,
Nelson Mandela,Education is the most powerful weapon which you can use to change the world.
,
Nelson Mandela,"

"
,
Nelson Mandela,"If you talk to a man in a language he understands, that goes to his head. If you talk to him in his language, that goes to his heart."
,
Nelson Mandela,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear."
,
Nelson Mandela,"

"
,
Nelson Mandela,There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.
,
Nelson Mandela,"There is no easy walk to freedom anywhere, and many of us will have to pass through the valley of the shadow of death again and again before we reach the mountaintop of our desires."
,
Nelson Mandela,"

"
,
Nelson Mandela,There can be no keener revelation of a society's soul than the way in which it treats its children.
,
Nelson Mandela,"

"
,
Nelson Mandela,"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others."
,
Nelson Mandela,"

"
,
Nelson Mandela,"Never, never and never again shall it be that this beautiful land will again experience the oppression of one by another."
,
Nelson Mandela,"

"
,
Nelson Mandela,"After climbing a great hill, one only finds that there are many more hills to climb."
,
Nelson Mandela,"Where globalization means, as it so often does, that the rich and powerful now have new means to further enrich and empower themselves at the cost of the poorer and weaker, we have a responsibility to protest in the name of universal freedom."
,
Nelson Mandela,"It is better to lead from behind and to put others in front, especially when you celebrate victory when nice things occur. You take the front line when there is danger. Then people will appreciate your leadership."
,
Nelson Mandela,There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered.
,
Nelson Mandela,"

"
,
Nelson Mandela,A good head and a good heart are always a formidable combination.
,
Nelson Mandela,"As long as poverty, injustice and gross inequality persist in our world, none of us can truly rest."
,
Nelson Mandela,"Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future."
,
Nelson Mandela,"

"
,
Nelson Mandela,To deny people their human rights is to challenge their very humanity.
,
Nelson Mandela,"

"
,
Nelson Mandela,"If you want to make peace with your enemy, you have to work with your enemy. Then he becomes your partner."
,
Nelson Mandela,"

"
,
Nelson Mandela,"Money won't create success, the freedom to make it will."
,
Nelson Mandela,"We pledge ourselves to liberate all our people from the continuing bondage of poverty, deprivation, suffering, gender and other discrimination."
,
Nelson Mandela,"A good leader can engage in a debate frankly and thoroughly, knowing that at the end he and the other side must be closer, and thus emerge stronger. You don't have that idea when you are arrogant, superficial, and uninformed."
,
Nelson Mandela,"

"
,
Nelson Mandela,"Courageous people do not fear forgiving, for the sake of peace."
,
Nelson Mandela,"

"
,
Nelson Mandela,Only free men can negotiate. A prisoner cannot enter into contracts.
,
Nelson Mandela,"

"
,
Nelson Mandela,No country can really develop unless its citizens are educated.
,
Nelson Mandela,"I have cherished the ideal of a democratic and free society in which all persons live together in harmony and with equal opportunities. It is an ideal which I hope to live for and to achieve. But if needs be, it is an ideal for which I am prepared to die."
,
Nelson Mandela,"I dream of the realization of the unity of Africa, whereby its leaders combine in their efforts to solve the problems of this continent. I dream of our vast deserts, of our forests, of all our great wildernesses."
,
Nelson Mandela,"

"
,
Nelson Mandela,When the water starts boiling it is foolish to turn off the heat.
,
Nelson Mandela,"

"
,
Nelson Mandela,"Unlike some politicians, I can admit to a mistake."
,
Nelson Mandela,"If the United States of America or Britain is having elections, they don't ask for observers from Africa or from Asia. But when we have elections, they want observers."
,
Nelson Mandela,"

"
,
Nelson Mandela,I dream of an Africa which is in peace with itself.
,
Nelson Mandela,"

"
,
Nelson Mandela,Let freedom reign. The sun never set on so glorious a human achievement.
,
Nelson Mandela,"

"
,
Nelson Mandela,Forget the past.
,
Nelson Mandela,"

"
,
Nelson Mandela,"Let there be work, bread, water and salt for all."
,
Nelson Mandela,"

"
,
Nelson Mandela,There is no such thing as part freedom.
,
Nelson Mandela,In my country we go to prison first and then become President.
,
Nelson Mandela,"

"
,
Nelson Mandela,I should tie myself to no particular system of society other than of socialism.
,
Nelson Mandela,"Communists have always played an active role in the fight by colonial countries for their freedom, because the short-term objects of Communism would always correspond with the long-term objects of freedom movements."
,
Nelson Mandela,"I detest racialism, because I regard it as a barbaric thing, whether it comes from a black man or a white man."
,
Nelson Mandela,"I do not deny that I planned sabotage. I did not plan it in a spirit of recklessness nor because I have any love of violence. I planned it as a result of a calm and sober assessment of the political situation that had arisen after many years of tyranny, exploitation and oppression of my people by the whites."
,
Nelson Mandela,"Without education, your children can never really meet the challenges they will face. So it's very important to give children education and explain that they should play a role for their country."
,
Nelson Mandela,"

"
,
Nelson Mandela,"I stand here before you not as a prophet, but as a humble servant of you, the people."
,
Nelson Mandela,"I am confident that nobody... will accuse me of selfishness if I ask to spend time, while I am still in good health, with my family, my friends and also with myself."
,
Nelson Mandela,"On the first day of school, my teacher, Miss Mdingane, gave each of us an English name and said that from thenceforth that was the name we would answer to in school. This was the custom among Africans in those days and was undoubtedly due to the British bias of our education."
,
Nelson Mandela,"

"
,
Nelson Mandela,Any man or institution that tries to rob me of my dignity will lose.
,
